brand_name,years_in_market,audience_reach,market_share,type_of_brand,reviews,sentiment_score,seo_score
PrimeEnergy,31,992759.0,8.6,Food,1.0,-27.0,100
QuantumEdge,19,4559680.0,18.53,Fintech,5.0,48.0,92
EverestWorks,29,4924981.0,0.63,Consulting,5.0,45.0,16
HorizonTravel,4,4909609.0,18.79,Tourism,5.0,-36.0,92
SummitHealth,34,700957.0,5.2,IT,1.0,81.0,63
AuroraEdge,32,3574585.0,1.09,Food,3.0,-52.0,35
PioneerLabs,10,3696821.0,8.77,Tourism,5.0,80.0,46
SummitWorks,3,3594094.0,6.97,Manufacturing,3.0,46.0,41
NovaGlobal,23,978823.0,13.3,Hospitality,1.0,-80.0,78
PioneerEnergy,29,253844.0,16.41,Retail,1.0,-25.0,80
AtlasTravel,11,272507.0,19.65,Logistics,5.0,81.0,47
ZenEdge,35,4895809.0,2.78,Retail,4.0,-61.0,34
PrimeSystems,1,692959.0,11.45,Fintech,3.0,67.0,29
AtlasNet,3,3916885.0,18.21,Ecommerce,5.0,-80.0,40
PioneerZone,25,878441.0,11.51,Ecommerce,3.0,49.0,52
SummitLabs,23,4268459.0,14.54,IT,4.0,50.0,33
VertexGlobal,5,4918548.0,5.2,Energy,1.0,55.0,23
NexusDigital,13,3556580.0,0.69,Education,3.0,39.0,51
SummitTech,29,463868.0,19.21,Media,1.0,-80.0,5
RadiantEdge,20,2901766.0,6.8,IT,4.0,-25.0,44
FusionTech,4,3299932.0,8.26,Manufacturing,4.0,-45.0,89
RadiantHub,23,677610.0,18.94,Ecommerce,3.0,-74.0,78
PulseHealth,26,4027936.0,3.98,Consulting,1.0,-67.0,23
VertexCore,6,2704995.0,10.19,Food,4.0,-9.0,32
ApexDigital,18,171451.0,3.93,Tourism,5.0,-84.0,11
FusionFoods,12,3439761.0,18.17,Ecommerce,2.0,-54.0,87
VelocityRetail,13,2382348.0,8.66,Energy,3.0,7.0,46
BeaconLink,28,2633796.0,12.95,Food,2.0,-63.0,57
RadiantTech,1,287899.0,9.53,Energy,4.0,-28.0,82
ZenMedia,37,3003048.0,3.28,Manufacturing,4.0,-72.0,15
HorizonEdge,18,4781710.0,1.39,Logistics,5.0,-52.0,12
BeaconSystems,7,1265009.0,5.63,Education,5.0,56.0,48
PulseNet,38,4239034.0,16.06,Energy,2.0,26.0,25
QuantumEnergy,5,3647976.0,12.18,Ecommerce,5.0,35.0,11
AtlasGlobal,22,1802001.0,11.55,Telecom,3.0,-48.0,51
SummitEdge,1,4975530.0,0.49,Fintech,3.0,-45.0,69
PrimeGlobal,28,4404080.0,6.68,Manufacturing,3.0,-24.0,51
OrbitZone,39,225852.0,1.13,Healthcare,4.0,33.0,23
AtlasSystems,28,2131191.0,4.24,Ecommerce,2.0,86.0,87
FusionHealth,17,1436110.0,13.81,Media,3.0,52.0,77
RadiantZone,13,2251877.0,19.5,Food,2.0,-17.0,18
VertexCore,39,832781.0,15.44,Telecom,4.0,42.0,4
VertexGlobal,11,4683721.0,0.44,Logistics,3.0,62.0,77
AuroraLink,29,489913.0,5.28,IT,4.0,-85.0,0
PioneerMedia,24,3780650.0,8.74,Consulting,5.0,-27.0,84
AuroraTech,10,857086.0,2.2,IT,1.0,86.0,81
HorizonTravel,10,2322872.0,0.55,Healthcare,3.0,-72.0,39
EverestRetail,4,2632062.0,5.76,Media,5.0,5.0,68
FusionWorks,20,468545.0,18.9,Logistics,1.0,60.0,77
HorizonGlobal,28,2727029.0,1.04,Manufacturing,3.0,-36.0,73
VelocityFoods,3,2536838.0,15.32,Consulting,5.0,40.0,34
EverestZone,35,1542514.0,6.74,Fintech,2.0,-77.0,46
ZenSystems,27,753220.0,14.98,Healthcare,1.0,-58.0,42
PioneerWorks,11,3241758.0,10.04,Hospitality,3.0,50.0,63
AtlasLabs,32,4389559.0,19.39,Tourism,5.0,-70.0,34
AuroraTech,30,1543134.0,6.48,IT,3.0,84.0,71
BeaconFoods,17,597644.0,19.76,Fintech,3.0,93.0,10
BeaconEdge,3,1515322.0,2.62,Healthcare,1.0,92.0,97
ZenHub,33,1484545.0,7.58,Healthcare,1.0,-38.0,54
HorizonMedia,23,1667062.0,16.47,Logistics,5.0,38.0,68
NexusTech,13,754682.0,4.38,Manufacturing,5.0,49.0,90
PrimeMedia,2,2371417.0,19.64,Ecommerce,4.0,15.0,81
EverestCore,38,2581723.0,13.48,Logistics,1.0,52.0,51
ZenZone,2,2098228.0,19.8,Tourism,1.0,30.0,67
HorizonFoods,16,3567478.0,17.03,IT,1.0,-56.0,80
AuroraEdge,38,1247463.0,14.32,Manufacturing,5.0,93.0,70
BeaconGlobal,7,4938945.0,7.88,Telecom,3.0,-6.0,67
PrimeNet,40,1629831.0,16.85,Manufacturing,4.0,-41.0,93
PioneerGlobal,21,2210867.0,0.74,Tourism,2.0,65.0,81
ApexNet,9,2251192.0,4.72,Ecommerce,4.0,-22.0,71
BeaconLink,19,3400662.0,11.7,IT,2.0,-47.0,97
VelocityHealth,32,761541.0,6.52,Hospitality,3.0,-81.0,84
VelocityFoods,10,4775181.0,7.76,Logistics,4.0,-91.0,80
NovaLabs,37,514727.0,16.04,Hospitality,2.0,16.0,56
ApexEdge,20,1739036.0,19.27,Retail,3.0,-37.0,59
RadiantMedia,6,3772109.0,18.99,Healthcare,3.0,73.0,48
ApexGlobal,8,1001305.0,11.65,Media,1.0,30.0,96
VertexNet,33,4413562.0,4.92,Manufacturing,2.0,62.0,90
ApexSystems,23,1790656.0,1.79,Education,5.0,-31.0,98
SummitLink,21,2879550.0,2.24,Fintech,1.0,10.0,2
OrbitHealth,23,3425880.0,2.44,Healthcare,1.0,-38.0,47
SummitTravel,11,4312762.0,17.36,Media,2.0,51.0,72
FusionEdge,4,823681.0,14.02,Hospitality,2.0,4.0,0
FusionHealth,7,3325108.0,4.88,Media,4.0,-6.0,50
ZenRetail,33,242484.0,15.09,Energy,5.0,-54.0,86
HorizonZone,6,168702.0,7.66,Energy,3.0,61.0,60
NovaZone,22,1427278.0,8.82,Food,4.0,21.0,36
AtlasNet,14,338244.0,1.9,Logistics,4.0,-63.0,75
PulseHub,1,548318.0,12.96,Consulting,1.0,-20.0,67
VertexEdge,36,1277604.0,3.45,Telecom,5.0,51.0,86
OrbitEdge,23,2560345.0,8.89,Energy,2.0,-28.0,96
NimbusLogics,25,3840053.0,4.86,Logistics,4.0,21.0,71
HorizonTech,13,1401794.0,2.44,Manufacturing,4.0,82.0,18
HorizonLogics,8,2725144.0,2.65,Food,5.0,26.0,95
VelocityLogics,6,2182154.0,2.67,Consulting,1.0,74.0,37
QuantumGlobal,21,695371.0,3.8,IT,1.0,67.0,70
VelocityMedia,5,4332565.0,13.43,Hospitality,2.0,100.0,49
QuantumMedia,38,4860430.0,3.67,Tourism,3.0,-79.0,94
HorizonDigital,3,1792855.0,2.82,Consulting,5.0,-19.0,60
PrimeTravel,7,423995.0,0.35,Telecom,4.0,47.0,83
NimbusDigital,11,4195387.0,3.12,Manufacturing,4.0,-34.0,59
FusionLink,38,2701381.0,13.58,Hospitality,1.0,-51.0,55
QuantumCore,11,2289755.0,1.21,Energy,4.0,84.0,1
AuroraPoint,11,2832706.0,9.09,Retail,3.0,-1.0,35
BeaconLabs,37,3250579.0,14.53,Hospitality,5.0,46.0,92
VelocityNet,40,3270082.0,2.13,Food,5.0,-64.0,42
SummitLogics,10,2439607.0,7.75,Education,5.0,43.0,16
NovaTech,27,1236540.0,1.66,Media,5.0,8.0,83
EverestSystems,33,64092.0,12.6,Telecom,5.0,75.0,36
PrimeNet,8,283018.0,4.47,Food,1.0,-3.0,12
PrimeWorks,11,801930.0,19.58,IT,4.0,-65.0,3
HorizonEdge,16,4950679.0,10.3,Tourism,1.0,64.0,20
OrbitMedia,1,1593074.0,19.36,Consulting,4.0,93.0,26
BeaconGlobal,28,3543679.0,2.1,Education,1.0,55.0,45
AtlasCore,9,2271061.0,6.35,Hospitality,1.0,-26.0,53
AtlasLink,20,4789712.0,0.3,Tourism,1.0,70.0,92
OrbitTech,7,376905.0,11.01,IT,5.0,-23.0,9
PioneerCore,5,252071.0,6.32,Telecom,2.0,-15.0,51
FusionLabs,19,4324789.0,17.41,Manufacturing,5.0,20.0,86
BeaconLogics,12,570230.0,8.72,Retail,4.0,46.0,50
BeaconWorks,22,1291823.0,11.55,Food,3.0,-80.0,58
PioneerLogics,11,3738968.0,3.53,Healthcare,3.0,64.0,61
VertexHub,24,2144642.0,12.48,Telecom,1.0,-45.0,82
PioneerEdge,10,1473903.0,4.79,Tourism,1.0,27.0,52
FusionHealth,25,517268.0,14.66,Hospitality,3.0,78.0,93
EverestSystems,3,868169.0,18.69,Tourism,2.0,59.0,33
NovaDigital,20,4698760.0,12.74,Healthcare,3.0,27.0,40
ApexFoods,6,1915064.0,19.58,Manufacturing,2.0,0.0,57
BeaconMedia,31,3967999.0,12.05,Logistics,2.0,-51.0,5
VertexLabs,1,1396385.0,2.6,Telecom,3.0,-71.0,90
AtlasFoods,36,1895992.0,16.19,Media,5.0,58.0,1
OrbitTravel,5,3658699.0,10.92,Healthcare,5.0,-47.0,77
ApexSystems,29,1107699.0,5.45,IT,2.0,50.0,45
OrbitZone,13,2955346.0,18.61,Hospitality,1.0,63.0,98
FusionHealth,37,1633565.0,10.15,Hospitality,2.0,-88.0,72
OrbitCore,12,3007394.0,18.68,IT,2.0,66.0,72
HorizonRetail,18,3246280.0,1.76,Media,3.0,-33.0,98
NexusEdge,26,927912.0,7.61,Food,1.0,23.0,29
PioneerGlobal,38,331374.0,4.19,Consulting,2.0,-52.0,95
SummitMedia,7,2868716.0,11.17,Tourism,5.0,58.0,63
VelocityHub,38,730178.0,1.83,IT,3.0,-2.0,4
FusionHub,3,4045600.0,1.63,Education,1.0,48.0,38
BeaconLink,38,330019.0,19.62,Consulting,2.0,-74.0,54
PrimeNet,11,4076871.0,17.9,Healthcare,1.0,-13.0,55
PioneerTravel,24,3963985.0,12.99,Consulting,3.0,-56.0,0
FusionCore,23,1407872.0,15.18,Ecommerce,5.0,72.0,13
AuroraTech,30,3231416.0,2.62,Manufacturing,5.0,-98.0,11
PioneerLogics,38,623636.0,3.85,Telecom,3.0,83.0,7
AtlasNet,15,2647255.0,5.0,Healthcare,3.0,51.0,52
AuroraSystems,35,3733680.0,10.08,Manufacturing,3.0,-42.0,33
ZenWorks,34,1641180.0,15.03,Logistics,4.0,47.0,24
PrimeEnergy,25,3743111.0,5.47,Education,2.0,84.0,40
PrimeWorks,4,2813065.0,18.13,Retail,2.0,83.0,42
EverestWorks,24,4457605.0,5.99,Food,3.0,8.0,19
SummitLink,29,2227515.0,14.24,Healthcare,4.0,-8.0,40
OrbitWorks,34,347928.0,7.88,Telecom,5.0,81.0,22
AtlasCore,27,584288.0,17.26,Fintech,5.0,60.0,67
ApexEnergy,32,3414817.0,14.54,IT,3.0,-13.0,82
RadiantRetail,20,3731342.0,14.02,Food,1.0,34.0,87
AtlasTravel,20,79203.0,0.76,Ecommerce,5.0,-28.0,95
ZenNet,32,1123985.0,17.65,IT,5.0,43.0,76
RadiantNet,33,4282803.0,6.03,Hospitality,5.0,-75.0,87
VertexEdge,14,4745613.0,13.98,Energy,5.0,89.0,53
PulseZone,34,4719207.0,10.46,IT,2.0,75.0,45
SummitLogics,30,74738.0,13.98,Ecommerce,1.0,48.0,2
HorizonPoint,4,2507550.0,6.52,IT,4.0,0.0,95
PioneerLink,29,132306.0,3.08,Tourism,1.0,-88.0,60
AtlasPoint,15,2699997.0,3.34,Food,5.0,85.0,65
NimbusLink,15,4389477.0,8.08,Ecommerce,3.0,100.0,47
NexusCore,18,3662961.0,17.97,Education,1.0,-34.0,64
OrbitLabs,14,4209907.0,16.7,Education,5.0,-77.0,26
QuantumRetail,23,3597675.0,5.19,Healthcare,2.0,-74.0,53
SummitFoods,19,1056090.0,16.03,Fintech,5.0,78.0,31
AuroraTravel,38,3306915.0,5.19,Education,1.0,60.0,16
PioneerHealth,23,3255763.0,7.76,Fintech,5.0,72.0,15
AuroraHub,32,3715493.0,6.3,Consulting,4.0,77.0,76
NimbusPoint,1,420155.0,5.99,Hospitality,2.0,-41.0,50
NimbusHealth,21,2773449.0,15.18,Fintech,1.0,-97.0,29
OrbitHub,3,1081913.0,18.26,Telecom,4.0,54.0,49
NovaCore,13,1724632.0,3.02,Logistics,5.0,-57.0,97
PrimeTech,35,1320084.0,16.3,Education,1.0,6.0,12
PrimeEdge,20,464885.0,19.4,Education,1.0,-61.0,40
VelocityLink,37,1722009.0,6.61,Tourism,3.0,68.0,30
AuroraDigital,38,3865548.0,1.24,Media,3.0,-2.0,59
NexusCore,12,762150.0,8.35,Healthcare,5.0,-96.0,38
AtlasSystems,8,4944055.0,4.54,Fintech,4.0,20.0,34
NovaLink,16,1336408.0,18.85,Hospitality,1.0,-60.0,34
RadiantTravel,32,1665475.0,2.9,Energy,5.0,-6.0,69
PulseCore,37,4950248.0,17.98,Energy,2.0,-71.0,52
PulseHub,18,3253738.0,8.04,Fintech,4.0,23.0,50
FusionPoint,31,756174.0,15.28,Education,1.0,-40.0,37
NovaFoods,16,4830294.0,12.91,Fintech,3.0,3.0,77
VertexNet,34,4610394.0,5.7,IT,5.0,-13.0,76
QuantumFoods,7,1401842.0,12.26,Ecommerce,5.0,-16.0,17
NimbusSystems,24,1188927.0,3.72,Manufacturing,3.0,31.0,70
VelocitySystems,6,3064637.0,9.05,Energy,5.0,85.0,30
BeaconWorks,32,1435993.0,8.02,Education,3.0,-60.0,37
FusionGlobal,13,98208.0,0.92,Healthcare,4.0,-1.0,48
NovaTravel,24,1670974.0,5.94,Hospitality,2.0,33.0,35
OrbitWorks,22,1405193.0,17.42,Logistics,2.0,4.0,24
PioneerCore,24,4797749.0,14.85,Telecom,2.0,24.0,45
SummitTravel,40,2890888.0,8.43,Manufacturing,2.0,-59.0,19
ApexLabs,30,332185.0,5.59,Food,1.0,28.0,9
VelocityNet,24,707064.0,5.01,Healthcare,3.0,29.0,22
VertexEnergy,23,912107.0,13.46,Logistics,2.0,-88.0,22
RadiantZone,24,2368164.0,15.22,Healthcare,5.0,16.0,77
RadiantZone,26,3010034.0,14.85,Food,3.0,61.0,28
ZenLink,25,2326937.0,18.09,Logistics,1.0,83.0,18
NovaHub,30,4642688.0,4.05,Manufacturing,3.0,59.0,70
AtlasLabs,18,3522812.0,10.95,Ecommerce,5.0,35.0,54
AuroraEdge,3,1591985.0,16.46,Manufacturing,2.0,68.0,72
FusionHub,24,4307637.0,5.91,Retail,1.0,29.0,29
BeaconLabs,15,3562915.0,1.01,Media,4.0,92.0,67
RadiantWorks,13,4030811.0,6.37,Education,5.0,-89.0,14
QuantumNet,17,3627433.0,19.03,Ecommerce,5.0,-21.0,100
NimbusEdge,38,763065.0,19.86,IT,3.0,-99.0,68
SummitRetail,2,4180318.0,17.15,Education,1.0,41.0,70
BeaconSystems,8,1758634.0,18.78,Media,2.0,-45.0,0
ApexCore,17,1872585.0,17.17,Telecom,3.0,-92.0,92
NimbusHealth,14,3773749.0,9.31,Hospitality,1.0,-47.0,49
RadiantTravel,1,2279772.0,4.25,Healthcare,4.0,31.0,65
ApexLogics,39,2539162.0,18.54,Hospitality,1.0,-7.0,89
ZenNet,20,3360739.0,0.97,Food,5.0,49.0,45
RadiantNet,28,1391757.0,16.51,Energy,4.0,-34.0,1
OrbitRetail,36,241034.0,10.95,Telecom,3.0,11.0,40
PulseTravel,4,2210624.0,11.1,Ecommerce,1.0,80.0,34
NexusNet,9,3616411.0,19.19,Telecom,1.0,-100.0,74
NexusRetail,17,3390818.0,7.94,Education,2.0,-81.0,83
FusionNet,40,4937508.0,18.87,Retail,3.0,-12.0,88
SummitDigital,1,3960142.0,6.81,Fintech,5.0,49.0,25
VertexFoods,13,4070583.0,15.69,Tourism,5.0,20.0,65
AtlasTech,9,1122740.0,17.34,Healthcare,4.0,88.0,68
VelocityEdge,22,1461493.0,2.6,Tourism,3.0,31.0,74
BeaconNet,5,4355389.0,17.05,Energy,2.0,55.0,75
AuroraNet,39,4522433.0,12.09,Energy,5.0,71.0,82
PulseNet,6,3130823.0,0.36,Ecommerce,4.0,-30.0,37
VertexRetail,4,2080274.0,7.26,Consulting,3.0,-50.0,76
ZenEnergy,23,4721077.0,9.27,Consulting,5.0,-84.0,38
AtlasWorks,24,3746756.0,17.69,Education,4.0,66.0,49
QuantumCore,10,1768254.0,19.88,Retail,3.0,93.0,81
PioneerEdge,2,928714.0,14.92,Telecom,4.0,-47.0,92
ZenMedia,4,1568811.0,13.08,Tourism,4.0,-43.0,71
NexusLogics,6,2305925.0,16.88,Fintech,2.0,93.0,4
SummitMedia,3,3668283.0,7.29,IT,5.0,-79.0,67
VertexFoods,5,80655.0,9.2,Manufacturing,1.0,92.0,82
NexusEdge,16,1419209.0,16.47,Ecommerce,4.0,42.0,97
AtlasLogics,32,560459.0,19.12,Food,4.0,-42.0,60
AuroraTech,29,1873157.0,11.17,Manufacturing,3.0,89.0,26
PrimeWorks,22,4753291.0,16.17,Manufacturing,4.0,-25.0,91
HorizonHub,37,3454621.0,17.99,Logistics,5.0,-41.0,54
FusionRetail,28,2119810.0,18.44,Healthcare,2.0,-48.0,18
VelocityLabs,10,3582695.0,2.31,Consulting,3.0,-32.0,91
NexusPoint,34,3440752.0,4.93,Media,1.0,-4.0,65
PrimeRetail,6,2204542.0,14.85,Tourism,3.0,-74.0,68
AtlasEnergy,7,3061995.0,18.09,Fintech,1.0,94.0,14
SummitCore,10,286575.0,19.91,Ecommerce,1.0,67.0,47
OrbitDigital,18,3739994.0,3.81,Tourism,2.0,-32.0,96
EverestEnergy,14,3935852.0,8.57,Food,5.0,-61.0,83
AtlasMedia,27,4221391.0,11.56,Media,1.0,46.0,31
NimbusPoint,33,2596329.0,16.15,Manufacturing,4.0,5.0,27
PioneerGlobal,29,3671310.0,7.34,Education,2.0,24.0,10
PulseNet,14,3446602.0,1.93,Retail,5.0,-63.0,15
BeaconZone,1,4111327.0,6.18,Food,2.0,-11.0,39
ApexPoint,34,4366521.0,9.39,Logistics,5.0,44.0,18
SummitTravel,36,4151333.0,6.05,Hospitality,4.0,-81.0,55
NexusEnergy,14,4466757.0,8.28,Fintech,1.0,-82.0,34
QuantumLink,1,1112690.0,3.73,Hospitality,3.0,80.0,79
RadiantSystems,2,1160310.0,6.89,Fintech,3.0,-100.0,91
RadiantCore,29,1079482.0,17.83,Education,5.0,80.0,75
OrbitZone,35,2138742.0,6.37,Education,4.0,36.0,13
NimbusZone,21,1454891.0,6.12,Logistics,5.0,83.0,79
PioneerGlobal,32,774055.0,19.96,Consulting,5.0,97.0,63
ZenEdge,5,4070668.0,14.55,IT,4.0,98.0,48
NovaNet,37,735601.0,17.26,IT,3.0,30.0,41
AuroraNet,29,3791580.0,10.87,Fintech,5.0,73.0,10
NovaRetail,6,1341529.0,15.47,Media,3.0,38.0,43
HorizonLabs,7,3804502.0,13.39,Fintech,4.0,0.0,78
NovaEdge,30,1104450.0,18.88,Hospitality,2.0,46.0,56
PioneerMedia,1,2507458.0,2.8,Hospitality,1.0,-27.0,22
BeaconPoint,28,2330811.0,16.74,Energy,4.0,-46.0,80
NexusLink,25,2436796.0,4.6,Food,1.0,-17.0,18
EverestWorks,37,3735178.0,5.82,Food,1.0,52.0,93
VelocityNet,23,3951684.0,0.33,Manufacturing,5.0,48.0,31
EverestSystems,8,4264446.0,8.87,Food,2.0,-50.0,58
AuroraGlobal,5,3424974.0,13.04,Logistics,5.0,43.0,91
RadiantLogics,29,1254074.0,10.16,Media,2.0,12.0,28
VertexEnergy,31,3977552.0,18.68,Education,5.0,-78.0,93
HorizonLogics,1,2184371.0,8.65,IT,1.0,-58.0,81
NexusEnergy,7,4410733.0,16.8,Logistics,2.0,99.0,15
VelocityFoods,37,233873.0,11.07,Education,5.0,-94.0,63
VertexFoods,18,1875177.0,7.04,Tourism,5.0,-65.0,2
NimbusNet,36,2267501.0,1.79,Tourism,4.0,28.0,73
ApexNet,3,2121620.0,9.78,Energy,3.0,-49.0,46
QuantumEdge,21,3429130.0,14.93,Energy,4.0,-60.0,11
QuantumEdge,18,3335788.0,11.5,Consulting,5.0,-88.0,95
PioneerLogics,16,1653919.0,7.14,Media,2.0,-76.0,49
PrimePoint,27,3509972.0,6.37,Retail,5.0,51.0,78
SummitFoods,16,3414320.0,0.93,Healthcare,2.0,97.0,59
QuantumRetail,35,2730515.0,0.8,Telecom,1.0,41.0,31
NovaPoint,40,242483.0,17.28,Food,5.0,-58.0,38
VelocityZone,29,2864381.0,11.46,Logistics,3.0,94.0,34
ZenFoods,18,276496.0,5.09,Media,2.0,-2.0,65
OrbitWorks,28,4414149.0,17.32,IT,2.0,-96.0,98
NovaTravel,3,1125322.0,8.08,Telecom,1.0,-80.0,82
VertexNet,12,4180961.0,9.68,Food,5.0,-2.0,35
VelocityZone,33,2836044.0,0.61,Healthcare,2.0,40.0,58
QuantumLink,34,4902738.0,4.56,Energy,2.0,-35.0,75
AuroraEdge,17,4562961.0,8.53,Food,3.0,-59.0,11
ApexFoods,13,2769684.0,9.08,IT,4.0,-43.0,51
ApexTech,34,1811466.0,4.87,Logistics,5.0,-77.0,32
QuantumCore,8,3192600.0,19.96,Media,3.0,89.0,2
FusionTech,10,4132668.0,14.56,Telecom,3.0,86.0,67
AuroraTravel,28,483198.0,14.79,Education,2.0,-19.0,95
BeaconGlobal,26,2000500.0,18.8,Telecom,1.0,67.0,68
AuroraHub,37,2130759.0,2.8,Telecom,1.0,-67.0,69
OrbitEnergy,1,1891773.0,4.94,Hospitality,5.0,-73.0,35
NexusZone,30,106762.0,5.64,IT,2.0,69.0,91
PrimeSystems,40,2550608.0,7.62,Consulting,4.0,59.0,50
NimbusNet,34,1445120.0,14.15,Fintech,4.0,37.0,37
AtlasLink,18,544837.0,10.5,Manufacturing,2.0,83.0,54
RadiantNet,11,3073083.0,6.59,Media,3.0,-39.0,10
PrimeEnergy,25,4632601.0,1.55,Energy,3.0,5.0,49
EverestCore,6,709514.0,17.82,Manufacturing,4.0,92.0,42
AtlasCore,28,4120617.0,0.43,Tourism,2.0,29.0,18
NimbusGlobal,33,2678897.0,5.41,Healthcare,5.0,-98.0,17
VertexLogics,21,1987609.0,9.62,Energy,3.0,-34.0,85
PrimeNet,36,4689301.0,16.97,Ecommerce,3.0,-37.0,46
PulseFoods,36,2226506.0,10.19,Manufacturing,3.0,2.0,12
EverestPoint,5,4795561.0,18.74,IT,3.0,3.0,34
ApexGlobal,7,2231290.0,12.39,Telecom,4.0,-97.0,42
NimbusDigital,6,3139514.0,17.74,Retail,1.0,-23.0,79
PulseNet,11,4199708.0,9.14,Education,5.0,37.0,65
AtlasGlobal,6,2138341.0,2.27,Education,1.0,-44.0,18
FusionRetail,16,393577.0,19.13,Tourism,4.0,-85.0,29
VertexTech,26,689223.0,16.29,Hospitality,1.0,-95.0,59
AuroraRetail,30,3874911.0,13.09,Logistics,3.0,73.0,61
NexusCore,38,141359.0,17.0,Healthcare,1.0,78.0,52
AtlasDigital,16,91548.0,10.66,Consulting,5.0,29.0,90
NimbusLogics,5,2800820.0,4.56,Logistics,4.0,49.0,82
NimbusRetail,28,3872948.0,12.84,Telecom,1.0,-68.0,22
NimbusDigital,3,498649.0,13.32,Telecom,3.0,-50.0,97
PioneerLogics,28,496985.0,7.76,Education,3.0,5.0,48
RadiantLabs,5,2119765.0,11.69,Hospitality,2.0,-88.0,57
NexusPoint,15,1712350.0,4.32,Fintech,3.0,-45.0,46
PrimeGlobal,8,936793.0,19.04,Energy,4.0,76.0,20
EverestMedia,24,460989.0,10.42,Media,1.0,70.0,52
NimbusLink,24,4710284.0,4.89,Manufacturing,2.0,7.0,13
ApexTech,24,3292504.0,5.74,Tourism,1.0,-2.0,34
QuantumCore,20,556314.0,14.98,Media,2.0,-6.0,28
NexusLabs,22,1381948.0,7.77,Logistics,3.0,66.0,37
PrimeRetail,18,3526390.0,7.5,Consulting,3.0,51.0,38
NimbusNet,26,3153136.0,17.99,Ecommerce,1.0,-56.0,25
VertexRetail,17,536143.0,0.14,Education,1.0,-33.0,55
NexusZone,39,322027.0,10.27,Consulting,5.0,-1.0,21
VertexWorks,20,4514330.0,1.13,Healthcare,4.0,53.0,82
PulseZone,1,3094423.0,5.33,Consulting,5.0,16.0,13
ZenFoods,31,4217248.0,14.41,Healthcare,3.0,32.0,2
ZenLink,11,4739611.0,19.74,Retail,1.0,12.0,72
SummitLink,23,2852727.0,18.64,Food,3.0,43.0,32
AtlasGlobal,12,1645869.0,1.69,Fintech,5.0,51.0,35
RadiantWorks,22,2132660.0,15.0,Tourism,5.0,-47.0,69
AtlasTravel,8,4820772.0,10.42,Energy,3.0,-36.0,81
